objectid,title,creator,date,work,discipline,subject,location,ocn,filename,format,latitude,longitude,type,description
uo7,"Creating Oregon from Illahee: Race, Settler-Colonialism, and Native Sovereignty in Western Oregon, 1792-1856",Gray H. Whaley,2002,Dissertation,History  ,"Lower Oregon fur trade, Experimental religion, Race wars, Native American colonies",University of Oregon,51338678,https://scholarsbank.uoregon.edu/items/8b054634-9a2a-4437-a0c4-d71d325b5942,record,44.04499983,-123.0725626,Text,"The colonial history of Oregon requires, in my opinion, significant revision.
Therefore, I addressed numerous important topics that regional historians, in my estimation, have handled incompletely. Such topics include the paradoxes of Christian
mission and colony, economic speculations of the ""hardy pioneers,"" interracial marriages
and the so-called ""mixed-bloods,"" the relationship between citizenship and white
patriarchy. and the attempted extermination of the Indians of southwestern Oregon.
This dissertation attempts to analyze the power of different people to shape
western Oregon in the early nineteenth century. a time of fundamental changes to
identity, environment, and demography. I explored both the nature of Euro-American
settler-colonialism in western Oregon and Native efforts to create new forms of
sovereignty under the pressures of disease, displacement. and conquest. My emphasis on
colonialism provides an effective context for exploring the dynamics of power that are
crucial for understanding the region's history. As well, my approach makes it possible to
relate an important part of United States history 10 similar histories in the world such as
New Zealand and Australia that also featured settler-colonialism and its counterparts:
conquest. Native dispossession, and, in some instances, genocide."
uo8,"The ecological other: Indians, invalids, and immigrants in U.S. environmental thought and literature",Sarah Jaquette Ray,2009,Dissertation,Environmental Studies,"Environmental justice, Immigration, Ecocriticism, Ecological other, Disability studies, Cultural studies, Native Americans, Silko, Leslie, 1948-, American studies, Geography, American literature, Indians of North America",University of Oregon,650701937,https://scholarsbank.uoregon.edu/items/fb45a489-36a0-4fd0-a63c-531d1eadc5bc,record,44.04499983,-123.0725626,Text,"This dissertation argues that a fundamental paradox underlies U.S. environmentalism: even as it functions as a critique of dominant social and economic practices, environmentalism simultaneously reinforces many social hierarchies, especially with regard to race, immigration, and disability, despite its claims to recognize the interdependence of human and ecological well-being. This project addresses the related questions: In what ways does environmentalism--as a code of behavioral imperatives and as a set of rhetorical strategies--ironically play a role in the exploitation of land and communities? Along what lines--class, race, ability, gender, nationality, age, and even ""sense of place""--do these environmental codes and discourses delineate good and bad environmental behavior?

I contend that environmentalism emerged in part to help legitimize U.S. imperial ambitions and support racialized and patriarchal conceptions of national identity. Concern about ""the environment"" made anxieties about communities of color more palatable than overt racism. Furthermore, ""environmentalism's hidden attachments"" to whiteness and Manifest Destiny historically aligned the movement with other repressive ideologies, such as eugenics and strict anti-immigration. These ""hidden attachments"" exist today, yet few have analyzed their contemporary implications, a gap this project fills.

In three chapters, I detail nineteenth-century environmentalism's influence on contemporary environmental thought. Each of these three illustrative chapters investigates a distinct category of environmentalism's ""ecological others"": Native Americans, people with disabilities, and undocumented immigrants. I argue that environmentalism defines these groups as ""ecological others"" because they are viewed as threats to nature and to the American national body politic. The first illustrative chapter analyzes Native American land claims in Leslie Marmon Silko's 1991 novel, Almanac of the Dead . The second illustrative chapter examines the importance of the fit body in environmental literature and U.S. adventure culture. In the third illustrative chapter, I integrate literary analysis with geographical theories and methods to investigate national security, wilderness protection, and undocumented immigration in the borderland. In a concluding fourth chapter, I analyze works of members of the excluded groups discussed in the first three chapters to show how they transform mainstream environmentalism to bridge social justice and ecological concerns.

This dissertation contains previously published material."
uo9,"Personhood, discourse, emotion, and environment in a Tlingit village",Kathryn Anne Fulton,2008,Dissertation,Anthropology,"Cultural anthropology, Alaska, Livelihood, Personhood, Tlingits, Discourse, Law, Environment",University of Oregon,298324049,https://scholarsbank.uoregon.edu/items/47e065f3-0339-4545-8b33-67a0b8d31c7a,record,44.04499983,-123.0725626,Text,"This dissertation observes ways of speaking about environment and community in Kake, a Native Tlingit village on Kupreanof Island in Southeast Alaska. The study investigates the functions and values of legal/regulatory and economic linguistic resources that travel through time and space, linking Kake to other sites, regional, national, and international. In light of increasing environmental issues world wide, the study examines how legal and regulatory processes influence beliefs about community and environment as a whole. Within the dissertation are case studies to show how local, day-to-day, community and environment-related narratives interact with state discourses. The study asks how words and stories in everyday conversations express and interpret the extent to which local Kake people feel emotion and responsibility for their forest and marine environment and each other. In addition, the study asks how people communicate their narratives about place, community, and work to government representatives, who converse using their own specialized language, narrative, and discourse rules. How, in turn, do local groups interpret and react to law-making and regulatory narratives? In the context of social attributes that help communities focus on sustainable livelihood strategies and the importance of environmental integrity, the study assesses what types of information get left out of discourses between local island people and state representatives. Communicating with official government agency personnel in public hearings, through documents, and in reaction to state decisions, influences changes in local words, stories and perceptions about people and place. The discursive and ideological adjustments that result can enhance or detract from local narratives that socialize moral codes and attachment to community and environment."
uo10,"Red Albion: Genocide and English Colonialism, 1622-1646",Matthew Kruer,2009,Thesis,History,"Great Britain -- Colonies -- America, Colonialism, Imperialism",University of Oregon,651048258,https://scholarsbank.uoregon.edu/items/d51694fd-6c96-4d45-87d8-ffb884f91689,record,44.04499983,-123.0725626,Text,"This thesis examines the connection between colonialism and violence during the
early years of English settlement in North America. I argue that colonization was inherently
destructive because the English colonists envisioned a comprehensive transformation of the
American landscape that required the elimination ofNative American societies. Two case
studies demonstrate the dynamics ofthis process. During the Anglo-Powhatan Wars in
Virginia, latent violence within English ideologies of imperialism escalated cont1ict to
levels of extreme brutality, but the fracturing ofpower along the frontier limited Virginian
war aims to expulsion of the Powhatan Indians and the creation of a segregated society.
During the Pequot War in New England, elements of violence in the Puritan worldview
became exaggerated by the onset of societal crisis during the Antinomian Controversy. The
resulting climate of fear unified the colonies and created an ideological commitment to the
genocide of the Pequots."
uo11,The promise of wildland fire management: creating economic opportunity for American Indian tribes,Kathleen Frances Rasmussen,2005,Thesis,"Planning, Public Policy, Management","Indians of North America -- Economic conditions, Forest reserves -- Fire management, Rangelands -- Fire management, Forest management -- Economic aspects, Forest management -- Social aspects, Native Americans, Tribes",University of Oregon,702175597,https://scholarsbank.uoregon.edu/items/1a8c426e-f0f4-45d0-9929-b58cf3bac78e,record,44.04499983,-123.0725626,Text,"Many rural, formerly resource-dependent communities seek sustainable forms of economic development that produce employment, attract economic activity, and revive community vitality through means other than commodity production of natural resources. Among such communities are American Indian tribes, many of which are rural and depend on their natural and cultural resources for their livelihood (inclusive of spiritual, cultural, and economic health). This study explores how a proactive, community-based approach to wildland fire management can provide tribes with
opportunities to pursue economic and cultural development activities. Findings suggest that opportunities exist for employment, small business development, and cultural enhancement projects through wildland fire management. Tribes face several obstacles to pursuing such opportunities including a lack of financial, political, and human capital. Building workforce capacity, forming strategic partnerships, educating tribal leadership, and exercising tribal sovereignty are key to creating economic opportunity through wildland fire management."
uo12,Growing up Indian : an Emic perspective,George B. Wasson,2001,Dissertation,Anthropology,"Cultural anthropology, Archaeology, Social sciences, Indian, Emic, Oregon, Culture contact, Wasson, George B. -- Family, Coquille Indians -- history, Coquille Indians -- social life and customs, Oregon, Western -- biography",University of Oregon,777326058,https://scholarsbank.uoregon.edu/items/d9d1b0bc-637a-4667-bfb5-aaa0bd481d45,record,44.04499983,-123.0725626,Text,"My dissertation, GROWING UP INDIAN: AN EMIC PERSPECTIVE describes the historical and contemporary experiences of the Coquille Indian Tribe and their close neighbors (as manifested in my oven family, in relation to their shared cultures, languages, and spiritual practices. I relate various tribal reactions to the tragedy of cultural genocide as experienced by those indigenous groups within the ""Black Hole"" of Southwest Oregon.

My desire is to provide an ""inside"" (emic) perspective on the history and cultural changes of Southwest Oregon. I explain Native responses to living primarily in a non-Indian world, after the nearly total loss of aboriginal Coquelle culture and tribal identity through decimation by disease, warfare, extermination, and cultural genocide through the educational policies of the Bureau of Indian Affairs, U.S. Government, and over zealous Euro-Americans.

After removal from their homelands, there was little opportunity for the remaining survivors to continue living in their traditional ways. Hence the adoption of living primarily by White man's standards and practices became standard for the Indians of southwest Oregon and their descendants.

My resources have been, in part, the Southwest Oregon Research Project (SWORP) archives housed in Special Collections of the UO Knight Library, along with works of Harrington, Chase, Waterman, Frachtenberg, Jacobs, and others. Additional sources include some personal papers on the Coastal Land Claims work by my father, George B. Wasson Sr. (1916 to 1947), my childhood relationships with older relatives and tribal elders, and my own experience navigating both Native American and White worlds in the 20 th century.

This dissertation includes both my previously published and co-authored materials, as well as previously unpublished essays."
uo13,"Camas Bulbs, the Kalapuya, and Gender: Exploring Evidence of Plant Food Intensification in the Willamette Valley of Oregon", Stephenie Kramer,2000,Thesis,Anthropology,Anthropology,University of Oregon,702173453,https://scholarsbank.uoregon.edu/items/4c120f20-dad1-4582-a23c-02d4bf024247,record,44.04499983,-123.0725626,Text,"40 p. : maps. ""A paper submitted in partial fulfillment of the requirements for a Master of Science degree in the Department of Anthropology at the University of Oregon."" A print copy of this thesis is available through the UO Libraries under the call number: KNIGHT E99.C8742 W37 1994"
uo14,"The Coquille Indians and the cultural ""black hole"" of the southwest Oregon coast",George B. Wasson,1994,Thesis,Anthropology,"Wasson, George B. -- Family, Coquille Indians -- History, Coquille Indians -- Social life and customs",University of Oregon,806989323,https://scholarsbank.uoregon.edu/items/dc0d02be-c096-4f11-bcd4-28d5c19baef6,record,44.04499983,-123.0725626,Text,"40 p. : maps. ""A paper submitted in partial fulfillment of the requirements for a Master of Science degree in the Department of Anthropology at the University of Oregon."" A print copy of this thesis is available through the UO Libraries under the call number: KNIGHT E99.C8742 W37 1994"
uo15,The political economy of ancient Samoa : basalt adze production and linkages to social status,Ernest H. Winterhoff,2007,Dissertation,Anthropology,"Production, Social status, Polynesia, Specialization, Basalt, Political economy, Samoa, Adze",University of Oregon,233578935,https://scholarsbank.uoregon.edu/items/96233f10-12ad-4025-9f55-af2357b4103a,record,44.04499983,-123.0725626,Text,"This dissertation examines the role of stone tool production as a strategic resource in the development of chiefly authority in prehistoric Samoa. The evolution of Polynesia's complex chiefly systems is a long standing issue in anthropology, and prior archaeological research has identified that specialized goods were a significant factor in the elevation of elite status in many Polynesian contexts. Before Western contact, Samoa was a stratified chiefdom with leaders claiming exclusive privileges and participating in an extensive trade network within the Fiji-West Polynesian region during the Traditional Samoan period (c. A.D. 300-1700). However, Samoa's political structure was quite different in the earlier Polynesian Plainware period (c. 500 B.C.-A.D. 300). Archaeologists, with the aid of historical linguistics, have documented a simple hereditary system operating among small horticultural communities. To address this political transformation, I investigate coeval changes occurring in stone adze production recovered on Tutuila Island.

Based firmly in the theoretical perspective of political economy, I ask three inter-related questions in my dissertation: were adze specialists present in ancient Samoa; if so, what was their connection to chiefly prerogatives; and what further relationship did these adze producers have with Samoa's emerging elite? To answer these questions, I utilize mass flake analysis and typological classifications to document technological and spatial changes in stone tool production. I also employ settlement studies and geochemical characterization to chart how leaders managed and controlled raw materials, as well as the distribution of basalt adzes in exchange networks.

From my research, I record numerous nucleated workshops of adze specialization on Tutuila dating as far back as 800 years ago. As a new form of economic organization, these adze specialists acted as catalysts for increased political complexity and stratified authority. In addition, I trace how Samoan elites used their bourgeoning authority in restricting access to basalt sources and the distribution of the finished products during this same time period. In the larger Samoan political economy, I conclude that Tutuilan chiefs, located in an otherwise economically-impoverished island, utilized these newly-developed adze specialists and high-quality basalt as strategic resources for accumulating material surplus in prestige competition."
uo16,Numu views of Numu cultures and history : cultural stewardship issues and a Punown view of Gosiute and Shoshone archaeology in the northeast Great Basin,Melvin G. Brewster,2003,Dissertation,Anthropology,"Numic Indians -- Great Basin -- Historiography, Uto-Aztecan Indians -- Historiography, Archaeology -- Great Basin, Anthropology, Prehistoric -- Great Basin, Great Basin -- Antiquities, Numic Indians -- Great Basin -- Civilization",University of Oregon,62880677,https://scholarsbank.uoregon.edu/items/36c572ff-b326-4420-a6ba-c4474c5b4cfa,record,44.04499983,-123.0725626,Text,"The culture history of the northeastern Great Basin, as currently written by the
archaeological profession, is silent as to the view of Gosiute and Shoshone natives about
their own ancestors. The goal of this dissertation is the infusion of Punown (interrelated
Numic speaking peoples) epistemology into mainstream anthropological interpretation, as
provided through North American Desert West prehistory. The hypothesized Numic
expansion into the Northeast Great Basin, according to which the Punown natives now
resident throughout the region are very recent immigrants, is problematic on several
grounds. In the dissertation I show that late population movement into this region by
Numic ancestors has not been demonstrated. After a hundred years of research no
consensus yet exists as to the origins of the Northern Uto-Aztecan speaking Numic peoples
(Punown). In spite of that, and in spite of the fact that it takes no account of the natives'
own view of their origins, the Numic Expansion Hypothesis is being used in a way by some archaeologists and cultural resource managers that denies to the Punown their
cultural heritage. The archaeological record of the region, extending back into deep time, is
rich in the similarities it shows with the native Punown cultures of the contact-historic
period. The epistemology and spiritual beliefs of the Punown also assert their cultural
continuity with the ancient traditions documented in that archaeological recoret;It is not
acceptable that a scientific hypothesis impedes native people's role in the care and
stewardship of sites and places throughout the region that their own spiritual traditions tell
them they are responsible for.
The mainstream anthropological concept of science and the epistemology of the
Punown are opposed diametrically. Punown view the world and its people as
interconnected through the Sacred Earth Matrix, while anthropologists see the human
world as bifurcated from nature. Punown understand archaeology and relatedness
spiritually, while archaeologists see dead objects in an ""objectified"" way. Conformity to the
existing paradigm, with its persistent building and rebuilding of earlier untenable
Euroamerican views of Numic origins, makes the Punown outsiders to the region in which
they live. This goes on even though many scholars, reviewing the case for a Numic
Expansion, find it seriously lacking. Infusion of Punown epistemology into current
archaeological practice offers a basis for pooling Punown and mainstream anthropological
approaches to the prehistory of the Desert West. A mutually enhancing research partnership
based on beneficial objectives is advocated; this will go far to repair a strained relationship
that now exists between Punown and archaeological researchers, and result in a fuller and
richer history for all to contemplate."
uo17,"Joel Poinsett and the paradox of imperial republicanism : Chile, Mexico, and the Cherokee Nation, 1810-1841",Feather Crawford Freed,2008,Thesis,History,"Poinsett, Joel Roberts, 1779-1851, Cherokee Nation -- History",University of Oregon,319437695,https://scholarsbank.uoregon.edu/items/6a1af509-dd9b-4837-9ba0-dd7cd59d72bf,record,44.04499983,-123.0725626,Text,"This thesis examines the intersection of republicanism and imperialism in the
early nineteenth-century Americas. I focus primarily on Joel Roberts Poinsett, a United
States ambassador and statesman, whose career provides a lens into the tensions inherent in a yeoman republic reliant on territorial expansion, yet predicated on the inclusive principles of liberty and virtue. During his diplomatic service in Chile in the 1810s and Mexico in the 1820s, I argue that Poinsett distinguished the character of the United States from that of European empires by actively fostering republican culture and institutions, while also pursuing an increasingly aggressive program of national self-interest. The imperial nature of Poinsett's ideology became pronounced as he pursued the annexation of Texas and the removal of the Cherokee Indians, requiring him to construct an
exclusionary and racialized understanding of American republicanism."
uo18,Teaching with Indigenous Commonsense: Indigenizing Teacher Practice,James Snyder,2022,Dissertation,Education,"Indigenization, Indigenous education, Settler colonialism, Teacher education",University of Oregon,n/a,https://scholarsbank.uoregon.edu/items/1a8cc049-f796-45ef-9903-9eb48a9eab68,record,44.04499983,-123.0725626,Text,"Teaching topics on Indigenous people and culture can be challenging for educators in K-12 classrooms for a multitude of reasons. This dissertation examines the epistemological complexities that teaching Indigenous identity, cultural teachings, and futurities are met with in mainstream classrooms. In the early chapters, I spend time describing what I mean by using the phrase Indigenous commonsense. The core of this idea is that teaching and learning only occurs in relation to others, otherwise it has no context, and without context it has no meaning or significance. Learning in a good way requires ensuring the health of those relationships (Merculieff & Roderick, 2013; Wilson, 2008). However, even the most well-intentioned educators who do provide Indigenous standpoints in their teaching (authors, invited guest, contemporary perspectives) seldom account for how the processes through which Western epistemology filter and constrain how Indigenous people and teachings can be “known” by learners. In this study I was compelled to provide an analysis’ for how challenging teaching Indigenous topics are when attempting to be answerable to the goal of unsettling the influences of colonialism. To do this, I offered stories of classroom experiences shared by Indigenous educators.
In chapter IV I looked at what some basic inclusion of Indigenous perspectives would mean in a middle school English Language Arts curriculum. This chapter analyzes the ways in which curriculum can be answerable to interrupting the multiple colonial epistemic maneuvers that attempt to confine Indigenous people’s identities and cultural memories. In chapter V I examined the process for how, in many cases, Indigenous epistemologies come to be “known” through Western epistemological reading habits. This research was prompted by an interview with an Indigenous educator who shared the story of their experience of reading Indigenous philosophical texts in a graduate course with majority non-Native students. The primary purpose of this analysis was to invite educators to contemplate, through the acts of remembering or forgetting, who’s or what futurity their chosen curriculum and teaching method is manifesting."
uo19,Centering the Indigenous in science education: Possibilities and limitations of decolonizing the academy,Stephany RunningHawk Johnson,2020,Dissertation,Education,"Decolonization, Indigenization, Indigenous education, Place-based Education, Reciprocity, Science education",University of Oregon,n/a,https://scholarsbank.uoregon.edu/items/46fddc8c-bdc8-4cb8-b227-79d15217d019,record,44.04499983,-123.0725626,Text,"The current public schooling system in the United States attempts to remove culture and values from science education. Science is completely entwined in the culture, art, languages, and everyday lives of Indigenous peoples; therefore it is not a discreet knowledge or entity. A narrative of failure is being produced that falsely portrays Indigenous students as ‘underperforming’, not ‘good at’ science, and that perpetuates the perception of an achievement gap. However, the real problem is the way we look at, think about, consider, and teach science in US public schools, particularly for Indigenous students. Curriculum and pedagogy that present science education out of cultural context is problematic. Indigenous students need to learn science in Indigenous ways, and then the in western paradigm.

In this study I employed a qualitative design, consisting of interviews and observations with students and their instructors. I conducted a semi-structured interview with each participant, then, based on an initial analysis, chose three students for in-depth case studies. I attended a number of science courses with the students and faculty, and conducted interviews with two main faculty members. I presented my initial analysis and invited my participants to give further feedback.

There are possibilities for doing decolonizing work within the academy. We need more Indigenous folx as professors, and we need non-Indigenous faculty to apply decolonizing and indigenizing curriculum, pedagogies, and practices. Examples of this can include bringing students together with Elders and other tribal experts, employing place-based educational practices, intergenerational learning, learning through story, and oral traditions. Supporting community and reciprocity is also important for our Indigenous students. Faculty face tensions in doing good work with and for their Indigenous students, including the challenge of how to adequately address the field’s expectation of students while still being responsive to student needs. Instructors also talked about balancing their connection to students with maintaining appropriate boundaries, and one instructor shared insight regarding gender differences and imbalances. These instructors voiced the desire and need to enhance their teaching skills and requested training in how to teach effectively and in a caring way for their specific communities."
uo20,From Relationality to Resilience in Contemporary Dakota and Ojibwe Environmental Justice Literature,Alexander Cavanaugh,2021,Dissertation,English,"Anishinaabe, Dakota, Environmental Justice, Indigenous literature, Ojibwe",University of Oregon,n/a,https://scholarsbank.uoregon.edu/items/72e91245-f123-41ba-8d54-693ede594181,record,44.04499983,-123.0725626,Text,"Indigenous literatures offer strong vantage points to address environmental injustice, climate change, and exploitation of marginalized populations in experiential terms. This dissertation approaches Indigenous environmental justice through a trans/national, tribally specific framework, examining contemporary Dakota and Ojibwe texts and offering an intervention into ecocriticism, which often falls short in its engagements with Indigenous literatures. The first chapter explores a genealogy of relationality in Dakota and Ojibwe literary theory and examines the role of nationhood in Indigenous literary studies. The second chapter examines Elizabeth Cook-Lynn’s Aurelia trilogy through a framework of social vulnerability and historical trauma. The third chapter studies Waubgeshig Rice’s speculative novel Moon of the Crusted Snow, further exploring social vulnerability and resilience through the genres of apocalyptic literature and Indigenous futurisms. The third chapter approaches Winona LaDuke’s Last Standing Woman and Vine Deloria Jr.’s God is Red through a discussion of spiritual revitalization, repatriation of Indigenous remains, and resurgence. The conclusion examines the NoDAPL movement via John Trudell’s poem “Crazy Horse,” connecting these threads of relationality, vulnerability, resistance, and resurgence in the context of a recent environmental justice movement. The coda looks outward to the ongoing public lands discussion, considering how centering Indigenous relations to land can contribute to that conversation."
uo21,Building Bridges and Breaking Down Barriers: First Food Knowledge Transmission of the Confederated Tribes of the Umatilla Indian Reservation,Lydia Caudill,2021,Thesis,Global Studies,"Decolonization, First Foods, Indigeneity, Indigenous Food Sovereignty, Self-Determination, Umatilla Tribes",University of Oregon,n/a,https://scholarsbank.uoregon.edu/items/61c20fd3-f9da-4872-91fb-d227a00b2f7b,record,44.04499983,-123.0725626,Text,"Through semi-structured interviews with CTUIR community members, I assessed the current spectrum of relationships that exists between CTUIR community members and their First Foods. Furthermore, I identify two categories of resources and opportunities of First Food knowledge transmission that these individuals have previously used and are drawn to: independent and interdependent. This assessment utilized Tuck et al.’s (2014) land education theoretical framework to provide the lens with which to structure questions and analysis. I argue that where a CTUIR community members falls along a spectrum of closeness in relationships with land and community is the highest indicator not only of their current relationship with First Foods but also the education and outreach opportunities they are drawn to. I conclude that First Food knowledge transmission practices would benefit from additional attention given to 1) the definition of First Foods and 2) further understanding of inclusion or exclusion among CTUIR community members."
uo22,"Of Rhizomes and Radio: Networking Indigenous Community Media in Oaxaca, Mexico",Emily Myers,2016,Thesis,International Studies,"Indigenous, Media, Mexico, Radio",University of Oregon,n/a,https://scholarsbank.uoregon.edu/items/98f5f097-de15-4726-99ab-ae802ade11cd,record,44.04499983,-123.0725626,Text,"In the face of a shifting political climate in Latin America, movements for indigenous rights and autonomy are leveraging community media in new ways transcending the state-market binary. Through ethnographic research with Zapotec media producers in Oaxaca and the supportive organizations forming points of connection between radios and activists, I argue that the strength of the indigenous community media movement in Oaxaca, and its potential to build a movement to resist destructive state and market forces, is best explained by Gilles Deleuze and Felix Guattari’s concept of the rhizome, which portrays Oaxacan indigenous media as a map of heterogeneous interconnections defying structural hierarchies and binaries. With this picture of a rhizomatic media movement, I demonstrate how radios have paved the way for innovations, revealing creative ways that indigenous groups are connecting with each other and the outside world, while asserting agency in their interactions with the market and the state."
uo23,A Cultural Snapshot: Exploring the Value of Community Photography for the Coquille Indian Tribe in a Climate Change Era,Kirsten Vinyeta,2014,Thesis,Environmental Studies,"Climate change, Community-based participatory research, Community photography, Coquille Indian Tribe, Decolonized research, Traditional cultural resources",University of Oregon,n/a,https://scholarsbank.uoregon.edu/items/dd7c4474-2136-40a8-807c-a852e457bcd5,record,44.04499983,-123.0725626,Text,"Like many American Indian tribes, the Coquille Indian Tribe of Oregon has endured long struggles to preserve its cultural traditions despite the impacts of colonization. Now, advancing climate change poses additional threats to indigenous ways of life. In recent decades, the Coquille have archived historical documents and photographs as a means to protect and assert their tribal sovereignty. There has also been a surge in photography within the Tribe to document contemporary tribal activities. Community photography may be a useful tool for the purpose of asserting tribal culture and self-determination in the face of a changing climate. Photovoice, a type of community photography in which photographs are combined with oral descriptions, may be particularly well suited for tribal purposes. This collaboration explores the value of community photography in general, and photovoice in particular, when used by the Coquille Indian Tribe in the context of climate change."
uo24,"Peripheries of Extraction in the Amazon of Ecuador: An analysis of indigenous territory, livelihoods and voices",Maria Norona,2020,Dissertation,Geography,"Amazon rain forest, Indigenous people, Oil extraction, Political Ecology",University of Oregon,n/a,https://scholarsbank.uoregon.edu/items/27337ec7-1265-4137-b7e5-4d8eb87848ec,record,44.04499983,-123.0725626,Text,"In the last 15 years, Ecuador has expanded its mining frontier in the Amazon at a pace and scale not seen before; this expansion has required the state to modify legal frameworks and institutions to increase territorial control in areas where the state’s presence was previously weak. For example, laws require a portion of mining profits to be invested in the modernization and development of populated areas near extractive sites. Mining investments are used to persuade populations to agree to extractive activities and are utilized as a strategy to modernize rural/indigenous ways of life. Thus, state intervention and mining, and oil activity expansion affect the local ability to respond to changes taking place at a rapid pace while also causing a number of conflicts.

I use case studies of communities facing encroachment of mining in the Amazon of Ecuador to better understand: a) the ways in which affected people struggle to maintain control over territories, b) the ways in which people adapt and respond to the negative effects of state and oil expansion and c) the ways in which indigenous people understand and cope with conflicts and violence produced by mining and oil industry.

My findings show first that indigenous and peasant communities require access to ‘volumetric knowledge’ in order to increase their ability to participate in processes of negotiation with the state. These processes define access to land and redistribution of oil extraction profits. Volumetric knowledge makes reference to understandings of oil volume, quality, infrastructure and environmental impacts in affected territories. Second, my findings show that communities affected by oil extraction respond ambivalently when adapting livelihood strategies to the expansion of oil extraction and increased state presence. Specifically, people partially reject and embrace state-imposed development and modernization programs. I focus on the process that informs families’ decision-making process, suggesting that ‘tactical subjectivity’ informs livelihood strategies at the household level. Third, state modernization and development programs reinforce colonial power dynamics in the Amazon; thus, ‘epistemic violence’ takes place as indigenous traditional knowledge that makes sense of conflicts and violence is undermined and erased by western logic driven by state-led modernization and development."
uo25,“It Celebrates Our Culture!”: Re-Storying Historical Healing in Education,Roshelle Weiser-Nieto,2025,Dissertation,Education,"Healing, Healing in Education, Healing Informed Practice, Historical Healing, Native American Curriculum, Tribal History/Shared History",University of Oregon,,https://scholarsbank.uoregon.edu/items/413b2294-47aa-4ae4-8669-c48b2915d694,record,44.04499983,-123.0725626,Text,"This dissertation explores how accurate Native American curriculum and implementation can support healing from the deep wounds left by colonial education systems. Looking specifically at Tribal History/Shared History curriculum in Oregon, this research highlights the importance of incorporating Culturally Sustaining curriculum in addressing narratives that perpetuate harm and erase Native histories and current lifeways in schools. After a review on current and foundational literature on healing and Native American curriculum throughout what is now known as the United States, this study emphasizes how Native studies curriculum can foster a resurgence of Indigenous knowledges. To examine the healing potential of TH/SH curriculum, the author turns to the self-developed theoretical framework, Stinta (Love) as Theory, which is informed by Indigenous and Chicana feminist theories, including felt theory and cultural intuition. Through a series of Sharing Circles with Indigenous educators, and a process of Collaborative Storying, this research centers Indigenous Methodologies of storytelling to showcase how this curriculum can actively promote healing and Indigenous joy. Including Native perspectives in school curricula isn’t just about telling the truth about history, it is about creating a space for healing and empowerment for students, educators, and Tribal communities. By involving Native educators directly in curriculum implementation, research, and professional development, this research shows that accurate Native American curricula can offer a path to healing and resilience, if it is fully embraced and implemented across the state. Moreover, through stories of Native teachers implementing the TH/SH curriculum and the wealth of knowledge and lived experience they bring to their classrooms, this study highlights the importance of Native teachers and Native teacher preparation programs."
ps1,Settler Colonial Curriculum in Carlisle Boarding School: a Historical and Personal Qualitative Research Study,Patrick Gerard Eagle Staff,2020,Dissertation,Curriculum & Instruction,"United States Indian School (Carlisle, Pa.); Indigenous children -- Education -- United States -- History -- 19th century; Indians of North America -- Education -- United States -- History -- 19th century; Indians of North America -- Cultural assimilation; Discrimination in education; Academic achievement; Colonization; Genocide -- United States -- History; Psychic trauma; Indians of North America -- Ethnic identity; Identity (Psychology)",Portland State University,1164823594,https://pdxscholar.library.pdx.edu/open_access_etds/5449/,record,45.51112737,-122.6833014,Text,"This dissertation research study brings together a historical account and one scholar's personal and family stories of how Indigenous children were stolen and sent to the first Bureau of Indian Affairs (BIA) boarding schools and tribal schools. In the case of the researcher's family, the educational experiences at Carlisle Indian Industrial School immediately started a traumatic assimilation process on Indigenous children that instilled generational trauma for them and their descendants. At these schools, Indigenous children were forced to conform to a foreign European school designed to abolish their Indigenous identity that demanded they give up their language and culture to be successful in education. In this study, the researcher explored the history of settler colonialism within Indian boarding schools and its impact on the succeeding generations of students who first attended them. Through in-depth interviewing method, 16 participants shared their family stories and perceptions of how Indian boarding schools were unwelcoming places of learning, where Indigenous children were forced to engage in an education system that had at its core, settler colonialism within its curriculum. The findings revealed how the student's Indigenous identity became a factor in the student's survival within the schools and was paramount in building the children's resilience while undergoing assimilation into the White European immigrant society.
"
